name,handedness,height,weight,avg,HR,RHBA,LHBA,RHHR,LHHR
Bert Bradley,B,73,190,0,0,0,0,0,0
Ken Holtzman,R,74,175,0.163,2,0.163,0,2,0
Pete Ward,L,73,185,0.254,98,0,0.254,0,98
Kevin Bell,R,72,195,0.222,13,0.222,0,13,0
Tom Nieto,R,73,193,0.205,5,0.205,0,5,0
Duke Sims,L,74,197,0.239,100,0,0.239,0,100
Larvell Blanks,R,68,167,0.253,20,0.253,0,20,0
Francisco Barrios,R,71,155,0,0,0,0,0,0
Mike Davis,L,74,175,0.259,91,0,0.259,0,91
Jerry Reuss,L,77,200,0.167,1,0,0.167,0,1
Steve Yeager,R,72,190,0.228,102,0.228,0,102,0
Danny Goodwin,L,73,195,0.236,13,0,0.236,0,13
Bud Harrelson,B,71,160,0.236,7,0,0,0,0
Bob Knepper,L,75,195,0.137,6,0,0.137,0,6
Mickey Rivers,L,70,165,0.295,61,0,0.295,0,61
Jim Northrup,L,75,190,0.267,153,0,0.267,0,153
John Hale,L,74,195,0.201,14,0,0.201,0,14
Reggie Ritter,L,74,195,0,0,0,0,0,0
Pedro Garcia,R,70,175,0.22,37,0.22,0,37,0
Carl Yastrzemski,L,71,175,0.285,452,0,0.285,0,452
Bob Babcock,R,77,210,0,0,0,0,0,0
Craig Eaton,R,71,175,0,0,0,0,0,0
Derrel Thomas,B,72,160,0.249,43,0,0,0,0
Art Howe,R,74,190,0.26,43,0.26,0,43,0
Ike Brown,R,72,190,0.256,20,0.256,0,20,0
Howie Goss,R,76,204,0.216,11,0.216,0,11,0
Glenn Borgmann,R,76,210,0.229,16,0.229,0,16,0
Lamar Johnson,R,74,215,0.287,64,0.287,0,64,0
Julio Gonzalez,R,71,162,0.235,4,0.235,0,4,0
Bobby Klaus,R,70,170,0.208,6,0.208,0,6,0
Manny Sanguillen,R,72,193,0.296,65,0.296,0,65,0
Gates Brown,L,71,220,0.257,84,0,0.257,0,84
Johnny Ray,B,71,170,0.29,53,0,0,0,0
Jesus Alou,R,74,190,0.28,32,0.28,0,32,0
Ken Landreaux,L,70,165,0.268,91,0,0.268,0,91
Enos Cabell,R,76,170,0.277,60,0.277,0,60,0
Roy Branch,R,72,175,0,0,0,0,0,0
Billy North,B,71,185,0.261,20,0,0,0,0
Juan Beniquez,R,71,150,0.274,79,0.274,0,79,0
Frank Fernandez,R,72,185,0.199,39,0.199,0,39,0
Bombo Rivera,R,70,187,0.265,10,0.265,0,10,0
Steve Brye,R,72,190,0.258,30,0.258,0,30,0
Ron Jackson,R,72,200,0.259,56,0.259,0,56,0
Roger Metzger,B,72,165,0.231,5,0,0,0,0
Rufino Linares,R,72,170,0.27,11,0.27,0,11,0
Ray Webster,L,72,185,0.244,17,0,0.244,0,17
Bob Kearney,R,72,190,0.233,27,0.233,0,27,0
Fergie Jenkins,R,77,205,0.165,13,0.165,0,13,0
Dick Dietz,R,73,195,0.261,66,0.261,0,66,0
Ted Cox,R,75,195,0.245,10,0.245,0,10,0
Bobby Mitchell,L,70,170,0.243,3,0,0.243,0,3
Bobby Mitchell,R,75,185,0.235,21,0.235,0,21,0
Barry Evans,R,73,180,0.251,2,0.251,0,2,0
Mickey Brantley,R,70,180,0.259,32,0.259,0,32,0
Al Gallagher,R,72,180,0.263,11,0.263,0,11,0
Rob Woodward,R,75,185,0,0,0,0,0,0
Hector Cruz,R,71,170,0.225,39,0.225,0,39,0
Fred Norman,B,68,155,0.125,0,0,0,0,0
Woody Woodward,R,74,180,0.236,1,0.236,0,1,0
Ted Martinez,R,72,165,0.24,7,0.24,0,7,0
Jim Anderson,R,72,170,0.218,13,0.218,0,13,0
Lenn Sakata,R,69,160,0.23,25,0.23,0,25,0
Dave Duncan,R,74,190,0.214,109,0.214,0,109,0
Randy Jones,R,72,178,0.132,0,0.132,0,0,0
Dick Billings,R,73,195,0.227,16,0.227,0,16,0
Bob Veselic,R,72,175,0,0,0,0,0,0
Bruce Bochte,L,75,195,0.282,100,0,0.282,0,100
Bernie Carbo,L,71,173,0.264,96,0,0.264,0,96
Vic Davalillo,L,67,150,0.279,36,0,0.279,0,36
Burt Hooton,R,73,210,0.123,4,0.123,0,4,0
